uai,nom_etablissement,nombre de lettre,_3eme_total,longitude,latitude,taux_de_reussite_g
0700786Z,Collège Jacques Brel,20,140,6.169519556206805,47.632314175580554,86.0
0580012Y,Collège Noël Berrier,20,35,3.683490280380998,47.25231366566169,89.0
0580542Z,Collège Les Loges,17,98,3.1325601863409216,46.98487234584173,92.0
0580599L,Collège Adam Billaut,20,99,3.1584886205988747,47.00666934303448,74.0
0711294W,Collège du Vallon,17,116,4.305599750951092,46.959719265351794,73.0
0890937K,Collège Marie Noël,18,115,3.42230229289232,47.97624269014131,66.0
0290100B,Collège Penn Ar C'hleuz,23,101,-4.482439921418086,48.416841026274234,85.0
0291089B,Collège La Fontaine Margot,26,77,-4.540690061781384,48.3837528328042,81.0
0291087Z,Collège Max Jacob,17,108,-4.131380514595773,47.98751825049506,69.0
0350895H,Collège Rosa Parks,18,150,-1.7146799912092223,48.121201797651814,81.0
0271096V,Collège Marie Curie,19,97,0.5886605594087218,49.09247192372764,95.0
0501205N,Collège les Provinces,21,79,-1.6298799572344473,49.62796998464379,96.0
0501300S,Collège Guillaume Fouace,24,31,-1.27119995876091,49.589236205211506,91.0
0610056E,Collège Saint-Exupéry,21,74,0.10235953320276274,48.436995205925115,64.0
0611023F,Collège François Truffaut,25,78,-0.016470583940718663,48.742108808954065,95.0
0762286X,Collège Catherine Bernard,25,113,0.9544640124609372,49.554315113502184,81.0
0761701L,Collège Roncherolles,20,135,0.48505623165713097,49.57052160326197,79.0
0761781Y,Collège Jean Moulin,19,87,0.1223226050896545,49.51319879679554,87.0
0761647C,Collège Paul Eluard,19,96,1.1010069913550966,49.39178218993487,84.0
0762132E,Collège Robespierre,19,66,1.0680494706698562,49.39673043511122,69.0
0240037K,Collège Jules Ferry,19,132,1.2990041723447758,45.130978379203704,82.0
0331462K,Collège Francisco Goya,22,99,-0.5771063716112431,44.83433606051566,78.0
0332082J,Collège Édouard Vaillant,24,132,-0.5656659963993367,44.864465652163254,85.0
0330064R,Collège Aliénor d'Aquitaine,27,103,-0.05064459442194146,44.85106732817064,87.0
0400648M,Collège Victor Duruy,20,150,-0.5007480155494959,43.89753517334212,99.0
0641561Z,Collège Pierre Bourdieu,23,89,-0.6251662358374172,43.36858824859739,86.0
0640227Z,Collège Jeanne d'Albret,23,230,-0.3426021927729051,43.301610194236474,79.0
0190635M,Collège Jean Moulin,19,119,1.4938800334320828,45.156267323881245,90.0
0870771R,Collège Bernart de Ventadour,28,177,1.272164068477409,45.81395310431876,89.0
0870817R,Collège Auguste Renoir,22,145,1.2417444828452684,45.823354395912105,69.0
0160113L,Collège Michelle Pallet,23,58,0.12847421626497582,45.650002306961134,83.0
0170081W,Collège La Fayette,18,108,-0.9618604247561143,45.929442164610386,81.0
